#Имя вложенного семейства или параметра,отступ слева,отступ сверху,угол поворота
03_Уголок равнополочный_ГОСТ 8509-93,92,30,0
03_Уголок равнополочный_ГОСТ 8509-93,92,30,0
03_Уголок равнополочный_ГОСТ 8509-93,385,190,0
03_ПластинаСтальная,180,72,0
Пластина_Длина,215,175,0
Рзм.ТолщинаСтены,215,232,0
УголокДополнительный_ШиринаПолки,390,232,0
УголокДополнительный_Смещение,485,150,0
Отметка от уровня,440,52,0
